modelo,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_macro_mean,f1_macro_std,balanced_accuracy_mean,balanced_accuracy_std,brier_mean,brier_std,log_loss_mean,log_loss_std
B0 most_frequent,0.5,0.0,0.5416817906836056,0.006676872369825826,0.3513460447168312,0.0028068626842606905,0.5,0.0,0.4583182093163945,0.006676872369825801,16.519462678520966,0.24065887342137465
B0 stratified,0.500591570168183,0.08732472421412786,0.5478603929051062,0.04382860483701181,0.5002845022624435,0.08763091287439718,0.500591570168183,0.08732472421412786,0.4939019963702359,0.08658054683349427,17.802032365361782,3.120679220306693
B1 regresion_logistica,0.7362421882179947,0.07866163674203641,0.7483667663035792,0.07835159688627918,0.681405123662739,0.07047683769042734,0.6816134776215422,0.06965725057697389,0.2110859567292614,0.035111565303576474,0.624648487487624,0.09547198330436407
