iteration,tpr_gap,fpr_gap,equalized_odds_difference
0,0.771551724137931,0.8095238095238095,0.8095238095238095
1,0.467741935483871,0.6842105263157895,0.6842105263157895
2,0.8857142857142857,0.6666666666666666,0.8857142857142857
3,0.8257575757575757,0.6428571428571429,0.8257575757575757
4,0.9705882352941176,0.625,0.9705882352941176
5,0.7965367965367967,0.5882352941176471,0.7965367965367967
6,0.9459459459459459,0.6923076923076923,0.9459459459459459
7,0.8194444444444444,0.6428571428571429,0.8194444444444444
8,0.9411764705882353,0.8125,0.9411764705882353
9,0.6787878787878787,0.9411764705882353,0.9411764705882353
10,0.8060344827586207,0.9047619047619048,0.9047619047619048
11,0.8928571428571429,0.7727272727272727,0.8928571428571429
12,0.5207373271889401,0.7368421052631579,0.7368421052631579
13,0.5473684210526315,0.6666666666666666,0.6666666666666666
14,0.896551724137931,0.7142857142857143,0.896551724137931
15,0.7647058823529411,0.75,0.7647058823529411
16,0.7974358974358975,0.36363636363636365,0.7974358974358975
17,0.9,0.7,0.9
18,0.6388888888888888,0.42857142857142855,0.6388888888888888
19,0.7156862745098039,0.375,0.7156862745098039
20,0.7424242424242424,0.7058823529411765,0.7424242424242424
21,0.6061776061776062,0.46153846153846156,0.6061776061776062
22,0.9032258064516129,0.631578947368421,0.9032258064516129
23,0.7738095238095237,0.5714285714285714,0.7738095238095237
24,0.76890756302521,0.625,0.76890756302521
25,0.6617647058823529,0.8125,0.8125
26,0.7946428571428572,0.5,0.7946428571428572
27,0.80625,0.7222222222222222,0.80625
28,0.8709677419354839,0.6842105263157895,0.8709677419354839
29,0.967741935483871,0.5263157894736842,0.967741935483871
30,0.9032258064516129,0.7368421052631579,0.9032258064516129
31,0.7662337662337662,0.5882352941176471,0.7662337662337662
32,0.9393939393939394,0.5294117647058824,0.9393939393939394
33,0.8199233716475096,0.7142857142857143,0.8199233716475096
34,0.8611111111111112,0.5714285714285714,0.8611111111111112
35,0.6642857142857143,0.6666666666666666,0.6666666666666666
36,0.7206208425720622,0.7777777777777778,0.7777777777777778
37,0.71007371007371,0.8461538461538461,0.8461538461538461
38,0.7428571428571429,0.8,0.8
39,0.9375,0.7777777777777778,0.9375
40,0.8125,0.7222222222222222,0.8125
41,0.9117647058823529,0.5625,0.9117647058823529
42,0.8,0.5263157894736842,0.8
43,0.9655172413793104,0.7142857142857143,0.9655172413793104
44,0.60625,0.5,0.60625
45,0.875,0.9,0.9
46,0.6833333333333333,1.0,1.0
47,0.7365591397849462,0.631578947368421,0.7365591397849462
48,0.7840909090909091,0.7058823529411765,0.7840909090909091
49,0.4117647058823529,0.6875,0.6875
50,0.7142857142857142,0.8666666666666667,0.8666666666666667
51,0.9090909090909091,0.5294117647058824,0.9090909090909091
52,0.7255639097744362,0.6666666666666666,0.7255639097744362
53,0.8416666666666667,0.6,0.8416666666666667
54,0.918918918918919,0.6153846153846154,0.918918918918919
55,0.8333333333333334,0.7857142857142857,0.8333333333333334
56,0.7928571428571429,0.5454545454545454,0.7928571428571429
57,0.6333333333333334,0.6,0.6333333333333334
58,0.9032258064516129,0.5789473684210527,0.9032258064516129
