repetition,sigma,mean_abs_probability_change,max_abs_probability_change,classification_flip_rate,shap_rank_spearman,top5_jaccard
0,1373.5282781954886,0.006605593240974744,0.07899085916503862,0.06944444444444445,1.0,1.0
1,1373.5282781954886,0.007515003617250842,0.06974383183426652,0.041666666666666664,1.0,1.0
2,1373.5282781954886,0.012164897337228833,0.3688176923402573,0.013888888888888888,0.9997198879551822,1.0
3,1373.5282781954886,0.006444963286832332,0.07144144839497102,0.0,1.0,1.0
4,1373.5282781954886,0.02392186428015228,0.5225315479832742,0.041666666666666664,0.9991596638655462,1.0
5,1373.5282781954886,0.010463430717618214,0.18987390545225374,0.013888888888888888,1.0,1.0
6,1373.5282781954886,0.015635144125954865,0.6234193525455418,0.013888888888888888,0.9997198879551822,1.0
7,1373.5282781954886,0.011782590202818246,0.213016444098731,0.027777777777777776,0.9997198879551822,1.0
8,1373.5282781954886,0.0074527827519099065,0.055090415330278586,0.013888888888888888,1.0,1.0
9,1373.5282781954886,0.007468926538715353,0.07565176153739073,0.027777777777777776,1.0,1.0
10,1373.5282781954886,0.02116934261475424,0.6234193525455418,0.013888888888888888,0.9997198879551822,1.0
11,1373.5282781954886,0.014231410135024538,0.5225315479832742,0.05555555555555555,0.9997198879551822,1.0
12,1373.5282781954886,0.006896727988566514,0.04543015880938178,0.013888888888888888,1.0,1.0
13,1373.5282781954886,0.012043287776505977,0.3688176923402573,0.027777777777777776,0.9997198879551822,1.0
14,1373.5282781954886,0.007082879314485004,0.04398858337942857,0.027777777777777776,1.0,1.0
15,1373.5282781954886,0.006494264074310309,0.04309934892490597,0.027777777777777776,1.0,1.0
16,1373.5282781954886,0.008524602955560115,0.1004100232131595,0.027777777777777776,1.0,1.0
17,1373.5282781954886,0.008842861455931257,0.10677569573168355,0.041666666666666664,1.0,1.0
18,1373.5282781954886,0.008721449075072638,0.06443017030159659,0.041666666666666664,1.0,1.0
19,1373.5282781954886,0.015384438959886967,0.6139622551047415,0.041666666666666664,0.9997198879551822,1.0
20,1373.5282781954886,0.007207194269862032,0.034721903704848234,0.05555555555555555,1.0,1.0
21,1373.5282781954886,0.016394724626996916,0.5225315479832742,0.05555555555555555,0.9997198879551822,1.0
22,1373.5282781954886,0.008331415064279153,0.059045279151251906,0.041666666666666664,1.0,1.0
23,1373.5282781954886,0.011021883522606671,0.18818328353768154,0.041666666666666664,0.9997198879551822,1.0
24,1373.5282781954886,0.009695175027765712,0.13583524900100946,0.013888888888888888,1.0,1.0
25,1373.5282781954886,0.008304769708861582,0.09134497042458231,0.027777777777777776,1.0,1.0
26,1373.5282781954886,0.020628200982686532,0.6139622551047415,0.027777777777777776,0.9997198879551822,1.0
27,1373.5282781954886,0.017538420809933473,0.6139622551047415,0.027777777777777776,0.9997198879551822,1.0
28,1373.5282781954886,0.007240388768686958,0.06368106468218587,0.013888888888888888,1.0,1.0
29,1373.5282781954886,0.006745876565360728,0.045726400345750845,0.041666666666666664,1.0,1.0
30,1373.5282781954886,0.0064394360413410545,0.04737606993994781,0.041666666666666664,1.0,1.0
31,1373.5282781954886,0.011829027287180714,0.3688176923402573,0.0,1.0,1.0
32,1373.5282781954886,0.007401910773343599,0.07362072425494504,0.0,1.0,1.0
33,1373.5282781954886,0.01890329524518308,0.6234193525455418,0.05555555555555555,0.9997198879551822,1.0
34,1373.5282781954886,0.011481747094409208,0.26417697561393927,0.041666666666666664,0.9997198879551822,1.0
35,1373.5282781954886,0.008457643001563842,0.0641891539339115,0.027777777777777776,1.0,1.0
36,1373.5282781954886,0.008826563212751095,0.19376957105917564,0.05555555555555555,1.0,1.0
37,1373.5282781954886,0.009257822261159378,0.06968822405192715,0.027777777777777776,1.0,1.0
38,1373.5282781954886,0.010514808816831379,0.20208863543886252,0.06944444444444445,1.0,1.0
39,1373.5282781954886,0.02038824754629687,0.6139622551047415,0.027777777777777776,0.9997198879551822,1.0
40,1373.5282781954886,0.007621367967179382,0.0782936183846662,0.041666666666666664,1.0,1.0
41,1373.5282781954886,0.00893758065392753,0.08771421413247016,0.027777777777777776,1.0,1.0
42,1373.5282781954886,0.010029764115646315,0.13416428515288537,0.041666666666666664,1.0,1.0
43,1373.5282781954886,0.008702134470997299,0.09610562826961933,0.027777777777777776,1.0,1.0
44,1373.5282781954886,0.008720799870733178,0.11555335477754475,0.027777777777777776,1.0,1.0
45,1373.5282781954886,0.007116830304368636,0.08475422177039271,0.013888888888888888,1.0,1.0
46,1373.5282781954886,0.01817223174547968,0.3688176923402573,0.027777777777777776,0.9997198879551822,1.0
47,1373.5282781954886,0.007057388075113994,0.04648497766683507,0.013888888888888888,1.0,1.0
48,1373.5282781954886,0.013968981964693369,0.6234193525455418,0.041666666666666664,0.9997198879551822,1.0
49,1373.5282781954886,0.011119425979943542,0.2111089228795105,0.013888888888888888,1.0,1.0
50,1373.5282781954886,0.010811744557466224,0.2286131152907137,0.027777777777777776,1.0,1.0
51,1373.5282781954886,0.008047559645916707,0.1238249352566384,0.013888888888888888,1.0,1.0
52,1373.5282781954886,0.007811321782471996,0.04948473278944232,0.013888888888888888,0.9997198879551822,1.0
53,1373.5282781954886,0.014605396197897465,0.6139622551047415,0.05555555555555555,0.9997198879551822,1.0
54,1373.5282781954886,0.016821317838574563,0.6139622551047415,0.041666666666666664,0.9997198879551822,1.0
55,1373.5282781954886,0.006301110369176961,0.050258536746933175,0.013888888888888888,1.0,1.0
56,1373.5282781954886,0.015528362167832703,0.3688176923402573,0.05555555555555555,0.9997198879551822,1.0
57,1373.5282781954886,0.010858994606521906,0.3688176923402573,0.05555555555555555,0.9997198879551822,1.0
58,1373.5282781954886,0.00882825741922228,0.2738375279336174,0.013888888888888888,0.9997198879551822,1.0
59,1373.5282781954886,0.019476379061091176,0.6139622551047415,0.06944444444444445,0.9997198879551822,1.0
60,1373.5282781954886,0.00864218486053902,0.04965226017001584,0.041666666666666664,1.0,1.0
61,1373.5282781954886,0.007206421528684547,0.05779238707313905,0.027777777777777776,0.9997198879551822,1.0
62,1373.5282781954886,0.0067388084446141396,0.05947199313996987,0.013888888888888888,1.0,1.0
63,1373.5282781954886,0.01395561390578176,0.4437190546464233,0.027777777777777776,0.9997198879551822,1.0
64,1373.5282781954886,0.011397097078701405,0.3688176923402573,0.027777777777777776,0.9997198879551822,1.0
65,1373.5282781954886,0.014307194116961837,0.3688176923402573,0.041666666666666664,0.9997198879551822,1.0
66,1373.5282781954886,0.012438907316847568,0.30905217700034393,0.041666666666666664,1.0,1.0
67,1373.5282781954886,0.01154689980378011,0.20087630352432018,0.027777777777777776,1.0,1.0
68,1373.5282781954886,0.007440349835310294,0.08980204018953514,0.027777777777777776,1.0,1.0
69,1373.5282781954886,0.008497545761592278,0.11488530462698054,0.041666666666666664,1.0,1.0
70,1373.5282781954886,0.009453231126782424,0.10923442623077972,0.013888888888888888,1.0,1.0
71,1373.5282781954886,0.009679916716440305,0.16839644657895902,0.027777777777777776,1.0,1.0
72,1373.5282781954886,0.014151509655509887,0.3688176923402573,0.013888888888888888,0.9997198879551822,1.0
73,1373.5282781954886,0.007613930827667142,0.0523160438019058,0.0,1.0,1.0
74,1373.5282781954886,0.006723516395463067,0.038813415494574344,0.027777777777777776,1.0,1.0
75,1373.5282781954886,0.011020519243787934,0.3688176923402573,0.027777777777777776,0.9997198879551822,1.0
76,1373.5282781954886,0.012247574148018695,0.3688176923402573,0.027777777777777776,1.0,1.0
77,1373.5282781954886,0.010662326418678376,0.3688176923402573,0.027777777777777776,1.0,1.0
78,1373.5282781954886,0.01609490574267825,0.6139622551047415,0.027777777777777776,0.9997198879551822,1.0
79,1373.5282781954886,0.007649735940702883,0.04946189286716374,0.013888888888888888,1.0,1.0
80,1373.5282781954886,0.01265719921276655,0.4437190546464233,0.05555555555555555,0.9997198879551822,1.0
81,1373.5282781954886,0.009660067189086761,0.12263985928742394,0.041666666666666664,1.0,1.0
82,1373.5282781954886,0.007658377032008701,0.07738022999367672,0.027777777777777776,1.0,1.0
83,1373.5282781954886,0.006740120290444813,0.041475465131754374,0.013888888888888888,1.0,1.0
84,1373.5282781954886,0.007400318142744514,0.04194154731487598,0.027777777777777776,1.0,1.0
85,1373.5282781954886,0.007355945067220105,0.10724292677835812,0.041666666666666664,0.9997198879551822,1.0
86,1373.5282781954886,0.02256090446355478,0.6139622551047415,0.027777777777777776,0.9997198879551822,1.0
87,1373.5282781954886,0.008745716654178809,0.05832030926510656,0.041666666666666664,1.0,1.0
88,1373.5282781954886,0.01080635777352279,0.16301889640195516,0.013888888888888888,0.9997198879551822,1.0
89,1373.5282781954886,0.01082903490397042,0.1612259160619956,0.041666666666666664,1.0,1.0
90,1373.5282781954886,0.005768631613041836,0.05094469064348134,0.0,1.0,1.0
91,1373.5282781954886,0.019436017336701004,0.6139622551047415,0.041666666666666664,0.9997198879551822,1.0
92,1373.5282781954886,0.008036919666867563,0.06530520451415278,0.041666666666666664,1.0,1.0
93,1373.5282781954886,0.007625205641366474,0.08725525221952657,0.041666666666666664,0.9997198879551822,1.0
94,1373.5282781954886,0.009253365335113263,0.10778694556972634,0.041666666666666664,1.0,1.0
95,1373.5282781954886,0.011686258613329649,0.3688176923402573,0.013888888888888888,0.9997198879551822,1.0
96,1373.5282781954886,0.011158556416398001,0.16557873610042473,0.027777777777777776,1.0,1.0
97,1373.5282781954886,0.013561510371770254,0.3688176923402573,0.0,0.9997198879551822,1.0
98,1373.5282781954886,0.017379443284294596,0.5225315479832742,0.041666666666666664,0.9997198879551822,1.0
99,1373.5282781954886,0.027391943999198427,0.6139622551047415,0.05555555555555555,0.9991596638655462,1.0
