feature,coef,odds_ratio,abs_coef
cat__rol_cliente_Actor,0.7915003534030091,2.206704780812147,0.7915003534030091
cat__rol_cliente_Demandado,-0.7907259211113711,0.45351545931460263,0.7907259211113711
cat__instancia_en_t0_Primera,0.6317119787400407,1.880827761746363,0.6317119787400407
cat__instancia_en_t0_Segunda,-0.6309375464484003,0.5320927054546057,0.6309375464484003
num__medida_cautelar_solicitada,0.5849311535521419,1.7948674111404828,0.5849311535521419
num__prueba_pericial_prevista,0.5121155769115484,1.6688179758216242,0.5121155769115484
cat__tipo_proceso_Despido intempestivo,0.40151667952775094,1.494089034321662,0.40151667952775094
cat__jurisdiccion_Rumiñahui,0.3409040208223024,1.4062182667120164,0.3409040208223024
cat__jurisdiccion_Quito Sur,-0.3382186148285871,0.7130393898741001,0.3382186148285871
num__cuantia_inicial_usd,0.3266879665220122,1.386368816197965,0.3266879665220122
cat__materia_Laboral,0.32537591274283406,1.3845510185382583,0.32537591274283406
cat__materia_Civil,-0.32460148045118803,0.7228153522997859,0.32460148045118803
cat__tipo_contraparte_Entidad pública,-0.3019086883817159,0.7394055781270205,0.3019086883817159
cat__tipo_proceso_Haberes laborales,-0.30058588134967706,0.7403843162233961,0.30058588134967706
cat__tipo_proceso_Ejecutivo,-0.2783019239743196,0.7570682099616353,0.2783019239743196
cat__tipo_proceso_Sumario,-0.2654177698138004,0.766885501430513,0.2654177698138004
num__missingindicator_cuantia_inicial_usd,0.22996357033236303,1.2585541603845751,0.22996357033236303
cat__tipo_proceso_Visto bueno,0.2244451145647593,1.2516280133145075,0.2244451145647593
cat__tipo_contraparte_Persona natural,0.20001925215844615,1.2214262730259517,0.20001925215844615
num__missingindicator_prueba_pericial_prevista,0.1409128466802173,1.1513243018770043,0.1409128466802173
cat__tipo_proceso_Ordinario,0.12234482131390584,1.1301437322466692,0.12234482131390584
num__missingindicator_medida_cautelar_solicitada,-0.11148744975140383,0.8945026175630425,0.11148744975140383
cat__tipo_contraparte_Persona jurídica,0.10266386851491156,1.1081188728265556,0.10266386851491156
cat__tipo_proceso_Monitorio,0.09677339202302136,1.1016107115596072,0.09677339202302136
cat__jurisdiccion_Quito Norte,-0.0933806696695939,0.9108467025793207,0.0933806696695939
cat__jurisdiccion_Mejía,0.09146969596752055,1.0957835695285068,0.09146969596752055
