threshold,f1_macro,balanced_accuracy,precision_positive,recall_positive
0.2,0.5455872594558726,0.597027972027972,0.596078431372549,0.9743589743589743
0.20500000000000002,0.5514545988833383,0.6008158508158508,0.5984251968503937,0.9743589743589743
0.21000000000000002,0.548833872597104,0.5976107226107226,0.5968379446640316,0.967948717948718
0.21500000000000002,0.5660388293248334,0.608974358974359,0.604,0.967948717948718
0.22000000000000003,0.5716699155295646,0.6127622377622377,0.606425702811245,0.967948717948718
0.225,0.5690773067331671,0.6069347319347319,0.6040816326530613,0.9487179487179487
0.23,0.5745454545454546,0.6107226107226107,0.6065573770491803,0.9487179487179487
0.23500000000000001,0.5825675808789383,0.6150932400932401,0.6099585062240664,0.9423076923076923
0.24000000000000002,0.5903385954147375,0.6194638694638694,0.6134453781512605,0.9358974358974359
0.24500000000000002,0.5955449881116256,0.6232517482517482,0.6160337552742616,0.9358974358974359
0.25,0.6058339669592867,0.6308275058275058,0.6212765957446809,0.9358974358974359
0.255,0.6058339669592867,0.6308275058275058,0.6212765957446809,0.9358974358974359
0.26,0.6029776674937966,0.6276223776223776,0.6196581196581197,0.9294871794871795
0.265,0.6029776674937966,0.6276223776223776,0.6196581196581197,0.9294871794871795
0.27,0.6029776674937966,0.6276223776223776,0.6196581196581197,0.9294871794871795
0.275,0.6029776674937966,0.6276223776223776,0.6196581196581197,0.9294871794871795
0.28,0.6051765738100461,0.6282051282051282,0.6206896551724138,0.9230769230769231
0.28500000000000003,0.6023132767318814,0.625,0.6190476190476191,0.9166666666666666
0.29000000000000004,0.6023132767318814,0.625,0.6190476190476191,0.9166666666666666
0.29500000000000004,0.6023132767318814,0.625,0.6190476190476191,0.9166666666666666
0.30000000000000004,0.5994545950368149,0.6217948717948718,0.6173913043478261,0.9102564102564102
0.30500000000000005,0.5958331084363362,0.615967365967366,0.6150442477876106,0.8910256410256411
0.31000000000000005,0.5958331084363362,0.615967365967366,0.6150442477876106,0.8910256410256411
0.31500000000000006,0.602694775189853,0.6203379953379953,0.6188340807174888,0.8846153846153846
0.32000000000000006,0.6017021276595744,0.6177156177156178,0.6181818181818182,0.8717948717948718
0.32500000000000007,0.6111611161116112,0.6252913752913754,0.6238532110091743,0.8717948717948718
0.33000000000000007,0.6129032258064516,0.6258741258741258,0.625,0.8653846153846154
