metric,mean,std,min,max
sigma,1373.5282781954893,6.855574260447694e-13,1373.5282781954886,1373.5282781954886
mean_abs_probability_change,0.011091720417470297,0.004493218124310014,0.005768631613041836,0.027391943999198427
max_abs_probability_change,0.2420973310266839,0.20648105463204003,0.034721903704848234,0.6234193525455418
classification_flip_rate,0.03083333333333333,0.016228336255394663,0.0,0.06944444444444445
shap_rank_spearman,0.9998739495798319,0.00017066436858397742,0.9991596638655462,1.0
top5_jaccard,1.0,0.0,1.0,1.0
